Country,Region,Happiness_Score,Economy,Family,Health,Freedom,Generosity,Trust
Zambia,Sub-Saharan Africa,4.51399994,0.63640678,1.0031873,0.25783589,0.46160349,0.24958014,0.07821355
Iraq,Middle East and Northern Africa,4.49700022,1.10271049,0.9786132,0.50118047,0.28855553,0.19963726,0.10721575
Gabon,Sub-Saharan Africa,4.46500015,1.19821024,1.15562022,0.35657859,0.31232858,0.04378538,0.07604679
Ethiopia,Sub-Saharan Africa,4.46000004,0.33923385,0.8646692,0.35340971,0.40884274,0.31265074,0.16545571
Sri Lanka,Southern Asia,4.44000006,1.00985014,1.25997639,0.62513083,0.56121325,0.49086356,0.07365397
Armenia,Central and Eastern Europe,4.37599993,0.90059674,1.00748372,0.63752443,0.19830327,0.08348809,0.02667442
India,Southern Asia,4.31500006,0.79222125,0.7543726,0.45542762,0.469987,0.23153849,0.09222689
Mauritania,Sub-Saharan Africa,4.29199982,0.64845729,1.27203083,0.28534928,0.09609804,0.20187002,0.136957
Congo (Brazzaville),Sub-Saharan Africa,4.29099989,0.80896425,0.83204436,0.28995743,0.43502587,0.12085213,0.07961813
Georgia,Central and Eastern Europe,4.28599977,0.95061266,0.57061493,0.64954698,0.30941004,0.05400882,0.25166664
Congo (Kinshasa),Sub-Saharan Africa,4.28000021,0.09210235,1.22902346,0.19140702,0.23596135,0.24645583,0.06024136
Mali,Sub-Saharan Africa,4.19000006,0.47618049,1.2814734,0.16936567,0.30661374,0.1833542,0.10497025
Ivory Coast,Sub-Saharan Africa,4.17999983,0.60304892,0.90478003,0.04864217,0.44770619,0.20123747,0.13006178
Cambodia,Southeastern Asia,4.16800022,0.6017651,1.00623834,0.4297834,0.63337582,0.38592297,0.06810595
Sudan,Sub-Saharan Africa,4.13899994,0.65951669,1.21400857,0.29092082,0.01499586,0.18231745,0.08984752
Ghana,Sub-Saharan Africa,4.11999989,0.66722482,0.87366474,0.29563773,0.42302629,0.25692394,0.02533637
Ukraine,Central and Eastern Europe,4.09600019,0.89465195,1.39453757,0.57590395,0.12297478,0.27006146,0.02302947
Uganda,Sub-Saharan Africa,4.08099985,0.38143072,1.12982774,0.21763261,0.44318596,0.32576606,0.05706972
Burkina Faso,Sub-Saharan Africa,4.03200006,0.35022771,1.04328001,0.21584426,0.32436785,0.25086468,0.12032811
Niger,Sub-Saharan Africa,4.02799988,0.16192533,0.993025,0.26850501,0.3636587,0.22867385,0.13857295
Malawi,Sub-Saharan Africa,3.97000003,0.23344204,0.51256883,0.31508958,0.46691465,0.28717047,0.07271165
Chad,Sub-Saharan Africa,3.93600011,0.43801299,0.95385587,0.04113472,0.16234203,0.21611385,0.05358188
Zimbabwe,Sub-Saharan Africa,3.875,0.37584653,1.08309591,0.19676375,0.33638421,0.18914349,0.09537538
